NAME          REFERENCE            TARGETS       MINPODS   MAXPODS   REPLICAS   AGE
backend-hpa   Deployment/backend   cpu: 2%/60%   2         10        2          62s
backend-hpa   Deployment/backend   cpu: 4%/60%   2         10        2          75s
backend-hpa   Deployment/backend   cpu: 40%/60%   2         10        2          90s
backend-hpa   Deployment/backend   cpu: 100%/60%   2         10        2          105s
backend-hpa   Deployment/backend   cpu: 267%/60%   2         10        4          2m
backend-hpa   Deployment/backend   cpu: 344%/60%   2         10        8          2m15s
backend-hpa   Deployment/backend   cpu: 285%/60%   2         10        8          2m30s
backend-hpa   Deployment/backend   cpu: 238%/60%   2         10        10         2m45s
backend-hpa   Deployment/backend   cpu: 228%/60%   2         10        10         3m
backend-hpa   Deployment/backend   cpu: 214%/60%   2         10        10         3m15s
backend-hpa   Deployment/backend   cpu: 210%/60%   2         10        10         3m30s
backend-hpa   Deployment/backend   cpu: 213%/60%   2         10        10         3m45s
backend-hpa   Deployment/backend   cpu: 223%/60%   2         10        10         4m
backend-hpa   Deployment/backend   cpu: 229%/60%   2         10        10         4m16s
backend-hpa   Deployment/backend   cpu: 228%/60%   2         10        10         4m31s
backend-hpa   Deployment/backend   cpu: 214%/60%   2         10        10         4m46s
backend-hpa   Deployment/backend   cpu: 210%/60%   2         10        10         5m1s
backend-hpa   Deployment/backend   cpu: 212%/60%   2         10        10         5m16s
backend-hpa   Deployment/backend   cpu: 210%/60%   2         10        10         5m31s
backend-hpa   Deployment/backend   cpu: 177%/60%   2         10        10         6m1s
backend-hpa   Deployment/backend   cpu: 125%/60%   2         10        10         6m16s
backend-hpa   Deployment/backend   cpu: 68%/60%    2         10        10         6m31s
backend-hpa   Deployment/backend   cpu: 18%/60%    2         10        10         6m46s
backend-hpa   Deployment/backend   cpu: 4%/60%     2         10        10         7m1s
backend-hpa   Deployment/backend   cpu: 2%/60%     2         10        10         7m16s
