unix_time,current_replicas,desired_replicas,cpu_percent
1790373694,2,2,2
1790373699,2,2,2
1790373705,2,2,2
1790373710,2,2,4
1790373715,2,2,4
1790373720,2,2,4
1790373725,2,2,40
1790373730,2,2,40
1790373735,2,2,40
1790373740,2,4,100
1790373745,2,4,100
1790373751,2,4,100
1790373756,4,8,267
1790373761,4,8,267
1790373766,4,8,267
1790373771,8,8,344
1790373777,8,8,344
1790373782,8,8,344
1790373787,8,10,285
1790373792,8,10,285
1790373797,8,10,285
1790373802,10,10,238
1790373808,10,10,238
1790373813,10,10,228
1790373818,10,10,228
1790373823,10,10,228
1790373828,10,10,214
1790373834,10,10,214
1790373839,10,10,214
1790373844,10,10,210
1790373849,10,10,210
1790373854,10,10,210
1790373860,10,10,213
1790373865,10,10,213
1790373870,10,10,213
1790373875,10,10,223
1790373881,10,10,223
1790373886,10,10,223
1790373891,10,10,229
1790373896,10,10,229
1790373901,10,10,229
1790373907,10,10,228
1790373912,10,10,228
1790373917,10,10,228
1790373922,10,10,214
1790373927,10,10,214
1790373933,10,10,214
1790373938,10,10,210
1790373943,10,10,210
1790373948,10,10,212
1790373953,10,10,212
1790373959,10,10,212
1790373964,10,10,210
1790373969,10,10,210
1790373974,10,10,210
1790373979,10,10,210
1790373984,10,10,210
1790373990,10,10,210
1790373995,10,10,177
1790374000,10,10,177
1790374005,10,10,177
1790374010,10,10,125
1790374015,10,10,125
1790374020,10,10,125
1790374025,10,10,68
1790374030,10,10,68
1790374036,10,10,68
1790374041,10,10,18
1790374046,10,10,18
1790374051,10,10,18
1790374056,10,10,4
1790374061,10,10,4
1790374066,10,10,4
1790374071,10,10,2
1790374076,10,10,2
1790374081,10,10,2
