NAME          REFERENCE            TARGETS       MINPODS   MAXPODS   REPLICAS   AGE
backend-hpa   Deployment/backend   cpu: 0%/60%   2         10        2          66s
backend-hpa   Deployment/backend   cpu: 3%/60%   2         10        2          90s
backend-hpa   Deployment/backend   cpu: 22%/60%   2         10        2          105s
backend-hpa   Deployment/backend   cpu: 41%/60%   2         10        2          2m
backend-hpa   Deployment/backend   cpu: 93%/60%   2         10        2          2m15s
backend-hpa   Deployment/backend   cpu: 160%/60%   2         10        4          2m30s
backend-hpa   Deployment/backend   cpu: 214%/60%   2         10        6          2m46s
backend-hpa   Deployment/backend   cpu: 160%/60%   2         10        8          3m1s
backend-hpa   Deployment/backend   cpu: 119%/60%   2         10        10         3m16s
backend-hpa   Deployment/backend   cpu: 95%/60%    2         10        10         3m31s
backend-hpa   Deployment/backend   cpu: 79%/60%    2         10        10         3m46s
backend-hpa   Deployment/backend   cpu: 75%/60%    2         10        10         4m1s
backend-hpa   Deployment/backend   cpu: 76%/60%    2         10        10         4m16s
backend-hpa   Deployment/backend   cpu: 75%/60%    2         10        10         4m31s
backend-hpa   Deployment/backend   cpu: 75%/60%    2         10        10         4m46s
backend-hpa   Deployment/backend   cpu: 75%/60%    2         10        10         5m1s
backend-hpa   Deployment/backend   cpu: 75%/60%    2         10        10         5m16s
backend-hpa   Deployment/backend   cpu: 76%/60%    2         10        10         5m46s
backend-hpa   Deployment/backend   cpu: 74%/60%    2         10        10         6m1s
backend-hpa   Deployment/backend   cpu: 60%/60%    2         10        10         6m16s
backend-hpa   Deployment/backend   cpu: 43%/60%    2         10        10         6m31s
backend-hpa   Deployment/backend   cpu: 22%/60%    2         10        10         6m46s
backend-hpa   Deployment/backend   cpu: 4%/60%     2         10        10         7m1s
backend-hpa   Deployment/backend   cpu: 0%/60%     2         10        10         7m16s
