unix_time,current_replicas,desired_replicas,cpu_percent
1790375103,2,2,0
1790375108,2,2,0
1790375113,2,2,0
1790375118,2,2,0
1790375123,2,2,0
1790375128,2,2,3
1790375133,2,2,3
1790375138,2,2,3
1790375144,2,2,22
1790375149,2,2,22
1790375154,2,2,22
1790375159,2,2,41
1790375164,2,2,41
1790375169,2,2,41
1790375174,2,4,93
1790375180,2,4,93
1790375185,2,4,93
1790375190,4,6,160
1790375195,4,6,160
1790375200,4,6,160
1790375205,6,8,214
1790375211,6,8,214
1790375216,6,8,214
1790375221,8,10,160
1790375226,8,10,160
1790375231,8,10,160
1790375237,10,10,119
1790375242,10,10,119
1790375247,10,10,119
1790375252,10,10,95
1790375257,10,10,95
1790375263,10,10,95
1790375268,10,10,79
1790375273,10,10,79
1790375278,10,10,75
1790375283,10,10,75
1790375288,10,10,75
1790375294,10,10,76
1790375299,10,10,76
1790375304,10,10,76
1790375309,10,10,75
1790375314,10,10,75
1790375320,10,10,75
1790375325,10,10,75
1790375330,10,10,75
1790375335,10,10,75
1790375340,10,10,75
1790375345,10,10,75
1790375351,10,10,75
1790375356,10,10,75
1790375361,10,10,75
1790375366,10,10,75
1790375371,10,10,75
1790375376,10,10,75
1790375382,10,10,75
1790375387,10,10,76
1790375392,10,10,76
1790375397,10,10,76
1790375402,10,10,74
1790375407,10,10,74
1790375412,10,10,74
1790375418,10,10,60
1790375423,10,10,60
1790375428,10,10,60
1790375433,10,10,43
1790375438,10,10,43
1790375443,10,10,22
1790375448,10,10,22
1790375453,10,10,22
1790375458,10,10,4
1790375463,10,10,4
1790375468,10,10,4
1790375474,10,10,0
1790375479,10,10,0
1790375484,10,10,0
1790375489,10,10,0
